Aline ,U.Val    , A.Val
      ,32,      
p,112,112
b,98,98
t,116,116
d,100,100
tX,648,116 88
dX,598,100 88
c,99,99
cV,607,99 86
k,107,107
g,103,103
q,113,113
qV,610,113 86
qG,660,113 71
m,109,109
vN,625,118 78
n,110,110
nX,626,110 88
nP,627,110 80
gN,331,103 78
qVN,628,113 86 78
b,665,98
d,114,100
qV,640,113 86
v,11377,118
d,638,100
dX,637,100 88
pS,632,112 83
bS,946,98 83
f,102,102
v,118,118
sD,952,115 69
zD,240,122 69
s,115,115
z,122,122
sT,643,115 84
zT,658,122 84
sX,642,115 88
zX,656,122 88
cS,231,99 83
cSV,669,99 83 86
x,120,120
xV,611,120 86
qS,967,113 83
qSV,641,113 83 86
hY,295,104 89
hYV,661,104 89 86
h,104,104
hV,614,104 86
sB,620,115 66
zS,622,122 83
vM,651,118 77
nM,633,110 77
dXM,635,100 88 77
j,106,106
gM,624,103 77
l,108,108
lX,621,108 88
lP,654,108 80
gBM,671,108 66 77
w,119,119
pS,653,112 83
w,613,119
bE,595,98 69
dE,599,100 69
jE,644,106 69
gE,608,103 69
qVE,667,113 86 69
i,105,105
y,121,121
iC,616,105 67
yC,649,121 67
iK,623,105 75
u,117,117
i,618,105
y,655,121
u,650,117
e,101,101
eO,248,101 79
eC,601,101 67
eCO,629,101 67 79
oU,612,111 85
o,111,111
eC,601,101 67
eI,603,101 73
eOI,339,101 79 73
eCI,604,101 67 73
oCI,606,111 67 73
oUI,652,111 85 73
oI,596,111 73
a,230,97
aC,592,97 67
a,97,97
aO,338,97 79
aK,593,97 75
aKU,594,97 75 85
